case_id,predicted_decision_v1,cited_policy_ids_v1,reason_v1,retrieved_policy_ids_v1,predicted_decision_v2,cited_policy_ids_v2,reason_v2,retrieved_policy_ids_v2,expected_decision,correct_v1,correct_v2,status,likely_failure_type
EVAL011,REJECT,"['POL-31', 'POL-10']","The expense for running shoes does not meet the criteria for reimbursement under any applicable policy, as it does not qualify as specialized technical equipment or workplace apparatus necessary for the job.","['POL-31', 'POL-10', 'POL-23']",REJECT,"['POL-31', 'POL-10']","The purchase of running shoes does not comply with any applicable company policy regarding equipment reimbursement, as it is not considered specialized technical equipment or workplace apparatus.",,REJECT,True,True,STABLE_PASS,
EVAL012,REQUEST_INFORMATION,['POL-03'],"The claim does not specify the name of the external client (Orion Pte Ltd) as required by the customer hospitality policy, which is necessary for assessment under POL-03.","['POL-03', 'POL-04', 'POL-19']",REQUEST_INFORMATION,['POL-03'],"The expense is for a client meal, but the identity of the external client (Orion Pte Ltd) is not explicitly stated in the submission, which is required for compliance with the Customer Hospitality policy.",,APPROVE,False,False,STILL_FAILING,
EVAL013,ESCALATE,"['POL-03', 'POL-04']","The expense involves alcohol and lacks the necessary documentation of the supplier's identity and business purpose, which are required for compliance under the relevant hospitality policies.","['POL-04', 'POL-03', 'POL-30']",REJECT,"['POL-04', 'POL-03']","The expense is for dinner and drinks, which includes alcohol. Since the supplier contact was not documented and the business purpose is unclear, it does not meet the requirements for reimbursement under the relevant policies.",,REQUEST_INFORMATION,False,False,STILL_FAILING,
EVAL014,REQUEST_INFORMATION,['POL-14'],"The employee did not provide a specific operational reason for the weekend purchase, which is required under policy POL-14.","['POL-14', 'POL-15', 'POL-18']",REQUEST_INFORMATION,['POL-14'],"The employee must provide a specific operational reason for the weekend purchase related to the company roadshow, as required by policy POL-14.",,REQUEST_INFORMATION,True,True,STABLE_PASS,
EVAL015,ESCALATE,[],"The expense for a corporate headshot session does not fall under any of the provided policies, as it does not relate to training, professional membership, or client hospitality.","['POL-32', 'POL-24', 'POL-03']",ESCALATE,[],"The expense for a corporate headshot session does not clearly fall under any of the applicable policies provided, as it does not relate to training, professional membership, or client hospitality.",,ESCALATE,True,True,STABLE_PASS,
EVAL016,ESCALATE,[],"The receipt is issued under a different name (R. Krishnan) than the claimant (Alice Tan), and the evidence does not establish the relationship between them, creating an identity issue that requires human judgment.","['POL-03', 'POL-15', 'POL-19']",ESCALATE,[],"The receipt is issued to a different person (R. Krishnan) than the claimant (Alice Tan), and the evidence does not establish the relationship between them. This raises an identity issue that requires further clarification.",,ESCALATE,True,True,STABLE_PASS,
EVAL017,REJECT,['POL-09'],"The expense is for personal home office supplies, which are not reimbursable under company policy POL-09 regarding personal acquisitions.","['POL-09', 'POL-23', 'POL-15']",REJECT,['POL-09'],"The expense is for personal office supplies, which are not reimbursable according to company policy POL-09 on private acquisitions.",,REJECT,True,True,STABLE_PASS,
EVAL018,ESCALATE,[],"The evidence does not clearly establish whether the meal was part of an approved business trip or if it meets the criteria for claiming under the Staff Sustenance Allowance policy. Additionally, the total amount is not provided, which is necessary for compliance assessment.","['POL-03', 'POL-29', 'POL-02']",ESCALATE,[],"The expense does not clearly fall under any applicable policy, as it lacks evidence of being on an approved trip or working beyond normal hours, and the total amount is not provided. Further clarification is needed to determine the appropriate policy.",,REQUEST_INFORMATION,False,False,STILL_FAILING,
EVAL019,REJECT,"['POL-09', 'POL-15']","The receipt includes a personal item (personal snacks) that is not reimbursable under company policy, and the business portion claimed does not clearly separate the eligible expense from the personal item.","['POL-09', 'POL-15', 'POL-12']",REJECT,"['POL-09', 'POL-15']","The receipt includes a personal item (personal snacks) that is not reimbursable under company policy, and the employee did not provide a clear split of the business and personal items as required.",,REQUEST_INFORMATION,False,False,STILL_FAILING,
EVAL020,APPROVE,['POL-05'],"The taxi fare of MYR 55.00 is for a work-related journey between an overseas client office and hotel, which complies with the Ground Conveyance for Work Journeys policy.","['POL-07', 'POL-05', 'POL-06']",APPROVE,['POL-05'],"The taxi fare of MYR 55.00 is for a work-related journey between an overseas client office and hotel, which is compliant with the Ground Conveyance policy.",,APPROVE,True,True,STABLE_PASS,
