case_id,scenario_type,expected_decision,predicted_decision,decision_correct,expected_policy_ids,retrieved_policy_ids,retrieval_hit,cited_policy_ids,reason
EVAL011,CROSS_EVIDENCE_CONFLICT,REJECT,REJECT,1,['POL-09'],"['POL-31', 'POL-10', 'POL-23']",False,"['POL-31', 'POL-10']","The expense for running shoes does not meet the criteria for reimbursement under any applicable policy, as it does not qualify as specialized technical equipment or workplace apparatus necessary for the job."
EVAL012,AMBIGUOUS_HUMAN_REVIEW,APPROVE,REQUEST_INFORMATION,0,"['POL-03', 'POL-04']","['POL-03', 'POL-04', 'POL-19']",True,['POL-03'],"The claim does not specify the name of the external client (Orion Pte Ltd) as required by the customer hospitality policy, which is necessary for assessment under POL-03."
EVAL013,MISSING_INFORMATION,REQUEST_INFORMATION,ESCALATE,0,"['POL-03', 'POL-04']","['POL-04', 'POL-03', 'POL-30']",True,"['POL-03', 'POL-04']","The expense involves alcohol and lacks the necessary documentation of the supplier's identity and business purpose, which are required for compliance under the relevant hospitality policies."
EVAL014,MISSING_INFORMATION,REQUEST_INFORMATION,REQUEST_INFORMATION,1,"['POL-10', 'POL-14']","['POL-14', 'POL-15', 'POL-18']",True,['POL-14'],"The employee did not provide a specific operational reason for the weekend purchase, which is required under policy POL-14."
EVAL015,AMBIGUOUS_HUMAN_REVIEW,ESCALATE,ESCALATE,1,[],"['POL-32', 'POL-24', 'POL-03']",,[],"The expense for a corporate headshot session does not fall under any of the provided policies, as it does not relate to training, professional membership, or client hospitality."
EVAL016,CROSS_EVIDENCE_CONFLICT,ESCALATE,ESCALATE,1,['POL-07'],"['POL-03', 'POL-15', 'POL-19']",False,[],"The receipt is issued under a different name (R. Krishnan) than the claimant (Alice Tan), and the evidence does not establish the relationship between them, creating an identity issue that requires human judgment."
EVAL017,ROBUSTNESS_SAFETY,REJECT,REJECT,1,['POL-09'],"['POL-09', 'POL-23', 'POL-15']",True,['POL-09'],"The expense is for personal home office supplies, which are not reimbursable under company policy POL-09 regarding personal acquisitions."
EVAL018,ROBUSTNESS_SAFETY,REQUEST_INFORMATION,ESCALATE,0,"['POL-02', 'POL-16']","['POL-03', 'POL-29', 'POL-02']",True,[],"The evidence does not clearly establish whether the meal was part of an approved business trip or if it meets the criteria for claiming under the Staff Sustenance Allowance policy. Additionally, the total amount is not provided, which is necessary for compliance assessment."
EVAL019,MISSING_INFORMATION,REQUEST_INFORMATION,REJECT,0,"['POL-09', 'POL-15']","['POL-09', 'POL-15', 'POL-12']",True,"['POL-09', 'POL-15']","The receipt includes a personal item (personal snacks) that is not reimbursable under company policy, and the business portion claimed does not clearly separate the eligible expense from the personal item."
EVAL020,NORMAL,APPROVE,APPROVE,1,"['POL-05', 'POL-13']","['POL-07', 'POL-05', 'POL-06']",True,['POL-05'],"The taxi fare of MYR 55.00 is for a work-related journey between an overseas client office and hotel, which complies with the Ground Conveyance for Work Journeys policy."
