case_id,text,success,engine,error,latency_ms,parsed_merchant,parsed_date,parsed_total_amount,parsed_currency,parsed_billed_to,parsed_line_items
DEV011,"Spice Terrace
48 Beach Road, Singapore 189677
GST Reg. No. 199807452K
Date: 2026-09-26
Time: 20:14
Receipt No: ST-20260926-0847
DESCRIPTION
AMOUNT (SGD)
Dinner set
46.00
TOTAL
SGD 46.00",True,vision,,31.136333999711496,Spice Terrace,2026-09-26,46.0,SGD,,"[{""description"": ""Dinner set"", ""amount"": 46.0}]"
DEV012,"CityLink Taxi
eridian Cabs Pte. Ltd.
GST Reg. No. 200311098R
Date: 2026-09-26
Time: 08:52
Receipt No: CL-20260926-1122
DESCRIPTION
AMOUNT (SGD)
Taxi fare
19.50
TOTAL
SGD 19.50",True,vision,,31.705375000456115,CityLink Taxi,2026-09-26,19.5,SGD,,"[{""description"": ""Taxi fare"", ""amount"": 19.5}]"
DEV013,,True,,,0.0,,,,,,[]
DEV014,"SkyPacific Airlines
Tax Invoice
IATA Code: SP
GST Reg. No. 201044521E
Date: 2026-09-27
Time:
Receipt No: SP-INV-88213
DESCRIPTION
AMOUNT (SGD)
Business class airfare
SIN/HKG return
2150. 00
TOTAL
SGD 2150.00",True,vision,,35.26908299954812,SkyPacific Airlines,2026-09-27,2150.0,SGD,,"[{""description"": ""Business class airfare SIN/HKG return"", ""amount"": 2150.0}]"
DEV015,"PixelForge Software Pte . Ltd.
ElJonthly Subscription Invoice
GST Reg. No. 201199003F
Date: 2026-09-27
Time:
Receipt No: PF-2026-09-INV-451
DESCRIPTION
AMOUNT (SGD)
Design Suite Pro
ElJonthly plan
75.00
TOTAL DUE
SGD 75.00",True,vision,,40.53875000045082,PixelForge Software Pte . Ltd.,2026-09-27,75.0,SGD,,"[{""description"": ""Design Suite Pro ElJonthly plan"", ""amount"": 75.0}]"
DEV016,"SG Events Box Office
Ticketing Services
GST Reg. No. 200733210D
Date: 2026-09-28
Time: 19:00
Receipt No: BX-556210
DESCRIPTION
AMOUNT (SGD)
Concert tickets x2
240.00
TOTAL
SGD 240.00",True,vision,,37.688958999751776,SG Events Box Office,2026-09-28,240.0,SGD,,"[{""description"": ""Concert tickets x2"", ""amount"": 240.0}]"
DEV017,"Securestore Logistics
Trlarehousing & Storage Services
GST Reg. No. 200955871A
Date: 2026-09-28
Time:
Receipt No: SS-77102
DESCRIPTION
AMOUNT (SGD)
Temporary storage
demo equipment 12 days)
180.00
TOTAL
SGD 180. 00",True,vision,,35.42116700009501,Securestore Logistics,2026-09-28,180.0,SGD,,"[{""description"": ""Temporary storage demo equipment 12 days)"", ""amount"": 180.0}]"
DEV018,"Bayview Kitchen
12 Marina View, Singapore 018961
GST Reg. No. 200612345H
Date: 2026-09-29
Time: 19:45
Receipt No: BK-990231
DESCRIPTION
AMOUNT (SGD)
Dinner
140.00
Tip Ivoluntaryl
25.00
TOTAL
SGD 165. 00",True,vision,,33.496666999781155,Bayview Kitchen,2026-09-29,165.0,SGD,,"[{""description"": ""Dinner"", ""amount"": 140.0}, {""description"": ""Tip Ivoluntaryl"", ""amount"": 25.0}]"
DEV019,"Riverside Grill
88 Robertson Quay, Singapore 238245
GST Reg. No. 200455213C
Date: 2026-09-30
Time: 19:20
Receipt No: RG-330187
DESCRIPTION
AMOUNT I SGD)
Set dinner for one
300.00
TOTAL
SGD 300. 00",True,vision,,30.985291999968467,Riverside Grill,2026-09-30,300.0,SGD,,"[{""description"": ""Set dinner for one"", ""amount"": 300.0}]"
DEV020,"Harbourfront Bistro
l ElJaritime Square, Singapore 099253
GST Reg. No. 200812004F
Date: 2026-09-30
Time: 20:05
Receipt No: HB-771029
DESCRIPTION
AMOUNT I SGD)
Dinner
130.00
TOTAL
SGD 130. 00",True,vision,,35.06470900083514,Harbourfront Bistro,2026-09-30,130.0,SGD,,"[{""description"": ""Dinner"", ""amount"": 130.0}]"
EVAL001,"Global Language Solutions Pte. Ltd.
Tax Invoice
GST Reg. No. 200233114
Date: 2026-09-03
Time:
Receipt No: GLS-INV-30281
DESCRIPTION
AMOUNT I SGD)
Translation and interpretation services
220.00
TOTAL
SGD 220. 00",True,vision,,30.842333000691724,Global Language Solutions Pte. Ltd.,2026-09-03,220.0,SGD,,"[{""description"": ""Translation and interpretation services"", ""amount"": 220.0}]"
EVAL002,"i ()11.% I
13()/
Toast Box
Raff les City
252 North Bridge Road
#BI-35 Raff les City Shopping Centre
Singapore 179103
Tel: 6336 1128
GST Reg No: M90367171A
DATE
RECEIPT NO
CASHIER
pos
2026-09-04 19:12:18
TBRC260904191218-0017
Nurul
RC-03
QTY ITEM
AMOUNT (SGD)
Hainanese Chicken Rice Set
Regular Iced Lernon Tea
39.50
SUB TOTAL
GST (9%)
39.50
3.26
TOTAL
SGD 39.50
PAYMENT METHOD
Visa
CARD NO; **** **** **** 4242
AUTH CODE: 123456
TID.. 53008763
SGD 39.50
Thank you I
Please come agaln.
www. toastbox. com",True,vision,,104.11199999998644,i ()11.% I,2026-09-04,39.5,SGD,,"[{""description"": ""Hainanese Chicken Rice Set Regular Iced Lernon Tea"", ""amount"": 39.5}]"
EVAL003,"CRYSTAL JADE
Crystal Jade Restaurant
2 Orchard Turn, #04-12 ION Orchard
Singapore 238801
Tel: +65 6509 8228
GST Reg No: M4-0071122-9
RECEIPT
Receipt No.
Date:
R-260905-08841
2026-09-05
Tirne:
19:20:47
Table:
14
Cove rs:
Qty
Description
Arnount (SGD)
Dinner Set (Set Dinner for 2)
172.00
Subtotal
172.00
1096 Service Charge
996 GST
0.00
0.00
TOTAL SGD
172.00
Payrnent Method:
Visa
Card No.
Approval Code:
Payrnent Status:
172.00
**** **** **** 1234
552091
APPROVED
Thank you. See you again.
Please retain this receipt for your records.
www. crystalj ade. com. sg",True,vision,,73.96062499992695,CRYSTAL JADE,2026-09-05,172.0,SGD,,"[{""description"": ""Dinner Set (Set Dinner for 2)"", ""amount"": 172.0}]"
EVAL004,"Challenger Technologies Limited
313 Orchard Road
#03-01/02/03
313@Somerset
Singapore 238895
Tel: 6882 8800
GST Reg No. 200106888M
TAX INVOICE
Receipt No.
Date
Time
Store
Cashier
R-260906-018732
2026-09-06
14:27:35
313 Somerset
CYNTHIA
Description
Qty
Amount (SGD)
USB-C dock
189.00
Subtotal
GST (9%)
189.00
15.55
TOTAL SGD
189.00
Payment Method
Visa Contactless
Card No.
Auth Code 081732
Txn Ref
660906142734
Approved 00
189.00
1234
Thank you for shopping with Challenger I
Goods sold are not refundable.",True,vision,,105.20283299956645,Challenger Technologies Limited,2026-09-06,189.0,SGD,,"[{""description"": ""USB-C dock"", ""amount"": 189.0}]"
EVAL005,"Food Republic
#B1-10, Vivocity
l HarbourFront Walk
Singapore 098585
Tel: 6276 0110
GST Reg No: 200105512K
RECEIPT
FR260907-1847
2026-09-07
19:14:32
Kiosk 03
Food Republic Vivocity
Receipt No.
Date
Time
Cashier
Outlet
Item
Amount (SGD )
Dinner
42.00
SUBTOTAL
GST (9%)
42.00
3.46
TOTAL
SGD 42.00
PAYMENT
Visa Card
Card No.
**** **** **** 1234
Approval Code: 876543
Transaction No.
000184732019
Payment Status: APPROVED
SGD 42.00
Thank you !
Please come again.",True,vision,,106.73325000061595,Food Republic,2026-09-07,42.0,SGD,,"[{""description"": ""Dinner"", ""amount"": 42.0}]"
EVAL006,"COMFORTDELGRO
TAXI
Comf ortDelGro Taxi
205 Braddell Road
Singapore 579701
UEN: 200300002K
RECEIPT NO.
TX120260908012345
DATE
2026-09-08
TIME
14:32;18
TAXI NO.
SHB1234A
DRIVER ID
567890
PICK-UP
10:15
DROP-OFF
10'.32
DISTANCE
12.4 km
DURATION
00:17:23
PAYMENT METHOD Visa Card
CARD NO.
**** **** **** 1234
APPROVAL CODE
654321
REFERENCE NO.
638291028412
DESCRIPTION
AMOUNT (SGD)
Taxi
21.00
TOTAL
SGD 21.00
Including GST (9%)
SGD 1.73
THANK YOU FOR TRAVELLING WITH US!
24-Hour Feedback Line: 6552 1111
www. cdgtaxi. com. sg",True,vision,,110.69087499981833,COMFORTDELGRO,2026-09-08,21.0,SGD,,"[{""description"": ""Taxi"", ""amount"": 21.0}]"
EVAL007,"SKAI
Skai Restaurant, Swissotel The Stamford
2 Stamford Road, Level 70
Singapore 178882
Tel: +65 6431 6156
GST Reg No: M5-0043390-2
TAX INVOICE
Receipt No.
Date:
SK-260909-3317
2026-09-09
Tirne:
20:05:11
Table:
22
Cove rs:
Qty
Description
Arnount (SGD)
Set Dinner Menu (8 guests)
Corkage / Beverage Service
624.00
56.00
Subtotal
680.00
Service Charge {incl. )
GST lincl. )
0.00
0.00
TOTAL SGD
680.00
Payrnent Method:
Arnex
Card No.
Approval Code:
Payrnent Status:
680.00
**** ****** *1009
410287
APPROVED
Thank you for dining with us.
Please retain this receipt for your records.",True,vision,,75.4211249995933,SKAI,2026-09-09,680.0,SGD,,"[{""description"": ""Set Dinner Menu (8 guests)"", ""amount"": 624.0}, {""description"": ""Corkage / Beverage Service"", ""amount"": 56.0}]"
EVAL008,"AI ASIA SUMMIT
Connecting Minds, Building the Future
RECEIPT
Receipt Number
Date
AAS-2026-0910-001245
2026-09-10
Bill To
Ms. Jane Tan
National University of Singapore
21 Lower Kent Ridge Road
Singapore 119077
jane.tan@nus.edu.sg
Al Asia Summit 2026
Email
Event
Event Date
2026-11-18 to 2026-11-20
Venue
Sands Expo & Convention Centre
Marina Bay Sands, Singapore
DESCRIPTION
AMOUNT {SGD)
Conference registration
SGD 390.00
TOTAL SGD 390.00
Payment Status
PAID
Payment Method
Credit Card (Visa)
Transaction ID
TXN20260910081245
Payment Date
2026-09-10 10..15 ISGT)
Thank you for registering.
We look forward to
welcoming you to the summit.
Amount Paid
SGD 390.00
Al Asia Summit
c/0 Constellar Pte. Ltd.
1 HarbourFront Avenue, #09-02, Keppel Bay Tower,
Singapore 098632
Email.. info@aiasiasummit.com | Website.. www.aiasiasummit.eom",True,vision,,137.93033299953095,AI ASIA SUMMIT,2026-09-10,390.0,SGD,Ms. Jane Tan,"[{""description"": ""Conference registration"", ""amount"": 390.0}]"
EVAL009,"NEWTON TECH
Newton Technology Store Pte. Ltd.
301 Serangoon Road, #02-18
Singapore 218108
Tel: +65 6291 4420
GST Reg. No.
201900219E
TAX INVOICE
Receipt No.
Date
NT2026091102214
2026-09-11
Tirne
11:12:03
Store
SERANGOON
Cashier
0447
Qty
Description
Arnount (SGD)
Ergonornic Of f ice Chair
240.00
Subtotal
240.00
GST 1996)
19.82
TOTAL SGD
240.00
PAYMENT
Visa
Card No.
Approval Code
240.00
**** **** **** 5521
902214
Thank you for shopping with us.
Goods sold are not returnable if opened.
Please retain this receipt for your records.",True,vision,,80.06220799961739,NEWTON TECH,2026-09-11,240.0,SGD,,"[{""description"": ""Ergonornic Of f ice Chair"", ""amount"": 240.0}]"
EVAL010,"BEAST & BUTTERFLIES
Beast & Butterflies
40 Craig Road, #01-01
Singapore 089688
Tel: +65 6221 3595
GST Reg No: M6-0018827-1
RECEIPT
Receipt No.
Date:
BB-260912-0093
2026-09-12
Tirne:
19:40:02
Table:
Cove rs:
10
Qty
Description
Arnount (SGD)
Set Menu (10 guests, product launch + tearn dlthéo)
Subtotal
410.00
1096 Service Charge
996 GST
0.00
0.00
TOTAL SGD
410.00
Payrnent Method:
Mastercard
Card No.
Approval Code:
Payrnent Status:
410.00
**** **** **** 7743
331209
APPROVED
Thank you. See you again.
Please retain this receipt for your records.",True,vision,,74.85412499954691,BEAST & BUTTERFLIES,2026-09-12,410.0,SGD,,"[{""description"": ""Set Menu (10 guests, product launch + tearn dlth\u00e9o)"", ""amount"": 410.0}]"
EVAL011,"ACTIVE SPORTS
238 Orchard Road, #03-18,
Singapore 238851
GST Reg No.
200912345M
Date
Time
Receipt No.
2026-09-13
15:12:09
EVALOII-51324
Item
Qty
Amount (SGD)
Running shoes
79.00
Subtotal (SGD)
GST (9%)
79.00
7,11
Total (SGD)
79.00
Payment Method
Visa
Card Number
Approval Code: 876543
**** **** **** 1234
Thank you for shopping with Active Sports.",True,vision,,93.2137910003803,ACTIVE SPORTS,2026-09-13,79.0,SGD,,"[{""description"": ""Running shoes"", ""amount"": 79.0}]"
EVAL012,"BAYSIDE GRILL
12 Marina Boulevard
#01-02, Singapore 018982
Tel: 6777 8899
GST Reg No.
201234567K
TAX INVOICE
2026-09-14
19:23:45
EVAL012-58871
T12
Date
Time
Receipt No.
Table No.
Item
Amount (SGD)
Food
Wine
120.00
25,00
Subtotal (SGD)
GST (9%)
145.00
0.00
Total (SGD)
145.00
Payment Method
Visa
Card Number
**** **** **** 1234
Approval Code: 876543
Thank you and
have a great day.",True,vision,,90.33108299991,BAYSIDE GRILL,2026-09-14,145.0,SGD,,"[{""description"": ""Food"", ""amount"": 120.0}, {""description"": ""Wine"", ""amount"": 25.0}]"
EVAL013,"Arnber Lounge Bistro
77 Amoy Street, Singapore 069896
GST Reg. No. 200456781K
Date: 2026-09-15
Time: 21:10
Receipt No: AL-88210
DESCRIPTION
AMOUNT I SGD)
Dinner and drinks
95.00
TOTAL
SGD 95.00",True,vision,,38.73420800027816,Arnber Lounge Bistro,2026-09-15,95.0,SGD,,"[{""description"": ""Dinner and drinks"", ""amount"": 95.0}]"
EVAL014,"PAPERMARKET SINGAPORE
211 Henderson Road, #OI-02,
Henderson Industrial Park,
Singapore 159552
GST Reg No.
201912345M
Date
Time
Receipt No.
2026-09-19
14.08.22
EVAL014-58437
Item
Qty
Amount (SGD)
Poster board
Markers
25.00
38.20
Subtotal (SGD)
GST (9%)
63.20
5.69
Total (SGD)
63.20
Payment Method
NetBanking
Bank: DBS/POSB
Approval Code: 912345
Ref No: 20260919140822
Trace ID: 123456789012
Thank you for shopping with Papermarket I
www.papermarket.com. sg",True,vision,,102.73179199975857,PAPERMARKET SINGAPORE,2026-09-19,63.2,SGD,,"[{""description"": ""Poster board"", ""amount"": 25.0}, {""description"": ""Markers"", ""amount"": 38.2}]"
EVAL015,"APERTURE STUDIO
Aperture Studio Pte Ltd
18 Enggor Street #03-05
Singapore 079718
Tel: +65 6221 4487
GST Reg No: M2-0088342-1
TAX INVOICE
Receipt No.
AS-260515-2209
Date
2026-05-15
Time
14:26:10
studio
OUTRAM
Cashier
0231
oty
Description
Amount I SGD)
Corporate Headshot Session
180.00
Subtotal
180.00
GST 19%)
16.20
TOTAL SGD
180.00
PAYMENT
NETS
180.00
Reference No.
20260515142610
Thank you for shopping with us.
Please retain this receipt for your records.",True,vision,,74.65475000026345,APERTURE STUDIO,2026-05-15,180.0,SGD,,"[{""description"": ""Corporate Headshot Session"", ""amount"": 180.0}]"
EVAL016,"CENTRAL SUITES
Central Suites Hotel
8 Shenton Way
Singapore 068811
Tel: +65 6227 8800
GST Reg No: M3-0029914-6
TAX INVOICE
Folio No.
CS-260921-1187
Date:
2026-09-21
Guest Narne:
R. Krishnan
Roorn No.
1207
Nights:
Qty
Description
Arnount (SGD)
Roorn Charge
I night
298.00
Subtotal
298.00
Service Charge { 1096)
GST 1996)
0.00
0.00
TOTAL SGD
298.00
Payrnent Method:
Corporate Account
Approval Code:
298.00
771845
Thank you for staying with us.
Please retain this receipt for your records.",True,vision,,74.26966599996376,CENTRAL SUITES,2026-09-21,298.0,SGD,R. Krishnan,"[{""description"": ""Roorn Charge I night"", ""amount"": 298.0}]"
EVAL017,"Novena Stationery Mart
238 Thomson Road, Singapore 307683
GST Reg. No. 200198765C
Date: 2026-09-22
Time: 17:40
Receipt No: NSM-55021
DESCRIPTION
AMOUNT I SGD)
Assorted home of f ice supplies
85.00
TOTAL
SGD 85.00",True,vision,,37.63920799974585,Novena Stationery Mart,2026-09-22,85.0,SGD,,"[{""description"": ""Assorted home of f ice supplies"", ""amount"": 85.0}]"
EVAL018,"KOPI CENTRAL
21 Tanjong Pagar Road,
#01-02, Singapore 088444
GST Reg No.
201234567M
Date
Time
Receipt No.
2026-09-23
09.'41:52
EVAL018-78216
Item
Qty
Amount (SGD)
Kopi O
Kaya Toast Set
Soft Boiled Eggs (2pcs) I
2.20
4.80
2.20
Subtotal (SGD)
GST (9%)
9.20
0.83
Total (SGD)
Payment Method
NETS
Approval Code: 673829
Thank you for dining with us!
Please come again.",True,vision,,92.1448330000203,KOPI CENTRAL,2026-09-23,,SGD,,"[{""description"": ""Kopi O"", ""amount"": 2.2}, {""description"": ""Kaya Toast Set"", ""amount"": 4.8}, {""description"": ""Soft Boiled Eggs (2pcs) I"", ""amount"": 2.2}]"
EVAL019,"Fa irmart
12 West Coast Road, #BI-07,
Singapore 128599
GST Reg No.
200812345M
Date
Time
Receipt No.
2026-09-24
10:37:18
EVAL019-48271
Iteffl
Qty
Amount (SGD)
Printer paper
Personal snacks
16.50
15.00
Subtotal (SGD)
GST (9%)
31.50
2,84
Total (SGD)
31.50
Payment Method
Visa
Card Number
**** **** **** 1234
Approval Code: 654321
Thank you for shopping with Fairmart.",True,vision,,91.03383399997256,Fa irmart,2026-09-24,31.5,SGD,,"[{""description"": ""Printer paper"", ""amount"": 16.5}, {""description"": ""Personal snacks"", ""amount"": 15.0}]"
EVAL020,"METROCAB KL
No. 12, Jalan Sultan Ismail,
50250 Kuala Lumpur,
Wilayah Persekutuan Kuala Lumpur
Malaysia
WIO-1808-31022336
SST Reg No.
Date
Time
Trip Ref
Driver ID
Taxi No.
2026-09-25
21:37:58
MKL25092521375889
MC9876
HWE 1234
Item
Amount (MYR)
Taxi fare
55.00
Total (MYR)
MYR 55.00
Paid by
Payfflent Ref
Approval Code
Payment Date
e-wallet
TNG2026092521375889
654321
2026-09-25 21: 38.02
Thank you for riding with Metrocab KL.
Hotline; +603-1234 5678
www.metrocabkl. coffl.my
Have a safe journey.",True,vision,,103.86841699983052,METROCAB KL,2026-09-25,55.0,MYR,,"[{""description"": ""Taxi fare"", ""amount"": 55.0}]"
