case_id,split,original_filename,renamed_filename,receipt_path,sha256
EVAL016,final_eval,central_suites_hotel_receipt.png,EVAL016.png,data/raw/receipts/EVAL016.png,bf2322f77adc0f2dd65fc6029027fc1dbe99acdee790f2492e371ffe6414e5f4
EVAL017,final_eval,generated_novena_stationery_mart_receipt.png,EVAL017.png,data/raw/receipts/EVAL017.png,976c773107993d3b23f52025bac4c71afdd5b5b1960573769404e6e3e750c6ea
EVAL018,final_eval,minimal_kopi_central_receipt.png,EVAL018.png,data/raw/receipts/EVAL018.png,dc33ce97b651ce0b11c29f40bab0ee04a6293eaf29d6084d5738dd379d0f92d8
EVAL019,final_eval,fairmart_receipt_on_a_neutral_tabletop.png,EVAL019.png,data/raw/receipts/EVAL019.png,1eb6951864dcf532f71635e54aa857d8ea937236eba828fe486c4900e141f7cd
EVAL020,final_eval,metrocab_kl_taxi_receipt.png,EVAL020.png,data/raw/receipts/EVAL020.png,7fbab07404c5bcf5bccf6648b57e6abdb9f87a6820108f7d87b61861cfccedaf
DEV011,dev,generated_faded_receipt.png,DEV011.png,data/raw/receipts/DEV011.png,30bfd897de44f4894028dc6e74074eba3110f17cfde85c0191e9aaef87d5221e
DEV012,dev,generated_citylink_taxi_receipt.png,DEV012.png,data/raw/receipts/DEV012.png,dd6905fd4bcae3d5c663c8b2c314c58b888bc7416c5650f4a916a44519fe4f1b
DEV014,dev,generated_skypacific_airlines_invoice.png,DEV014.png,data/raw/receipts/DEV014.png,bb6622002f26dca4806a356c480cac94d80cb77dab1f293c360c210353cf7019
DEV015,dev,generated_pixelforge_software_invoice.png,DEV015.png,data/raw/receipts/DEV015.png,96745f36fb3786a5db1ddcfa913580929d11d46a2919ea51f03b56a4dfa65239
DEV016,dev,generated_sg_events_ticket_receipt.png,DEV016.png,data/raw/receipts/DEV016.png,cd571cb57c293b927ee644080e5695aec43bdc8e0eadba08d45779ac49ec1e2f
DEV017,dev,generated_securestore_logistics_invoice.png,DEV017.png,data/raw/receipts/DEV017.png,8c70a8e48e2ceb8778efff5125b3e5e8b6f38340b37f4381ecc4c19f3a056ed8
DEV018,dev,generated_bayview_kitchen_receipt.png,DEV018.png,data/raw/receipts/DEV018.png,c0cefe0a53d1f3526093c8ac1b6ca7f4407b03459cd61ff1598df3d7518070b4
DEV019,dev,generated_riverside_grill_receipt.png,DEV019.png,data/raw/receipts/DEV019.png,fadbfcc070faf995f41507a908dea364798166679024b6ad209cb5f7373dc6a2
DEV020,dev,generated_harbourfront_bistro_receipt.png,DEV020.png,data/raw/receipts/DEV020.png,1e60a423c8358e3d6182ae0e472b043681c27915842368bc5dca94b3db94a6d0
