policy_id,category,title,policy_text,keywords,source_document,source_section,source_heading
POL-11,SOFTWARE,Digital Tool Access Fees,"Recurring fees for digital tools or online services you need for work, usually billed monthly, are reimbursable up to SGD 50 per month, provided you record the business justification with your first claim for that tool. If it is an annual or other longer-term commitment, or the monthly-equivalent cost is more than SGD 50, you need your supervisor's documented authorisation BEFORE entering into the commitment or making the first payment. This policy covers ongoing subscriptions, not a one-off purchase of software under a perpetual licence -- that should instead be claimed as equipment under POL-10. Cancel a subscription promptly once you no longer need it; the company keeps paying for it for as long as it remains active.",,Corporate_Expense_Policy.pdf,9.1,Software and digital services
POL-12,BUSINESS_GIFT,Goodwill Tokens,"A goodwill gift to an external business contact -- for example, marking a significant milestone in a business relationship -- is reimbursable up to SGD 100 in value, provided you record who received it and the business reason for it at the time of the claim. Cash, or anything easily converted to cash such as gift cards or vouchers usable broadly, is never reimbursable as a goodwill gift, at any value, because it is difficult to show that it served a genuine relationship-building purpose rather than being a disguised payment. Gifts to colleagues inside the company are not covered by this policy at all and are generally a personal matter for you, unless a separate, specifically authorised staff-recognition budget applies, which sits outside this document.",,Corporate_Expense_Policy.pdf,10.1,Business gifts and promotional items
POL-13,FOREIGN_CURRENCY,Non-Home Denomination Claims,"If an expense was paid in a currency other than the company's home currency, record it in your claim exactly as shown on the original receipt -- in that original currency and amount -- and do not convert it yourself. Finance converts the eligible amount to the home currency centrally, using the company's standard exchange-rate process for around the date the expense was incurred, rather than whatever rate your card issuer or currency exchange actually charged you. All the other eligibility rules elsewhere in this document still fully apply to a foreign-currency expense -- this policy only governs how the figure is recorded and converted, and creates no separate exemption or extra entitlement.",,Corporate_Expense_Policy.pdf,13.1,Foreign currency and exchange-rate handling
POL-14,WEEKEND_HOLIDAY,Non-Working Day Costs,"An expense on a weekend or a public holiday is not automatically excluded from reimbursement, but you must state, at the time of submission, the specific operational reason the expense had to happen on that particular day rather than during the ordinary working week. A general statement that the work was 'important' or 'urgent', without more detail, does not satisfy this requirement -- name the actual concrete reason, such as an event that could only be held that day, or a deadline on the following working day that required preparation over the weekend. Whatever policy normally applies to that category of expense still applies on top of this rule -- a weekend or holiday claim must satisfy both this policy and the specific policy governing that category of expense.",,Corporate_Expense_Policy.pdf,14.1,"Weekend, public-holiday and after-hours claims"
POL-15,MIXED_EXPENSE,Combined Proof-of-Purchase,"If a single receipt or invoice covers both a genuine business cost and one or more personal items, you can still claim the business portion -- a personal item on the same document does not disqualify the business part, as long as the two can be clearly told apart. You must state which specific line items are the business ones and the resulting amount you are claiming, rather than submitting the combined total and leaving Finance to work out the split. If the document does not itemise clearly enough to support this, give a reasonable estimate together with an explanation of your basis for it; Finance can query a split that looks disproportionate to the description given. This policy works alongside POL-09 (personal items are never reimbursable on their own) -- it exists specifically for the common case where business and personal items land on the same receipt.",,Corporate_Expense_Policy.pdf,15.1,Mixed business and personal receipts
POL-16,RECEIPT_QUALITY,Indeterminate Documentary Detail,"If a detail essential to assessing a claim -- the total amount, the date, or the vendor's identity -- cannot be confidently read from the supporting documentation, whether because it is faded, cropped, damaged, or otherwise unclear, the claim must not be assessed using an assumed or guessed value for that detail. Instead, send the submission back to the employee for clarification if it is something they can reasonably be expected to confirm, or escalate it to Finance Review for manual determination if the detail cannot be reliably established even with the employee's input, or if its absence raises a broader doubt about the reliability of the whole submission. This reflects a rule that runs throughout this document: never guess a figure, date, or other material fact in order to reach a decision, however plausible the guess might seem.",,Corporate_Expense_Policy.pdf,16.1,"Missing, unreadable, duplicate and altered receipts"
POL-17,TRAINING,External Learning and Gatherings,"Fees to enrol in an external course, programme, or professional event are reimbursable only where: (1) the actual content is genuinely relevant to your current duties or to a role you are actively being prepared for, and (2) your supervisor's documented authorisation was obtained and recorded BEFORE you enrolled. Judge relevance by the programme's actual content, not just its general subject area -- a programme broadly in your field but not addressing your actual responsibilities may still fail this requirement. Cancellation or no-show fees from missing an otherwise-authorised programme are not reimbursable except in genuinely exceptional circumstances, such as a documented illness reported within the provider's cancellation window. Claim travel and lodging for attending such a programme separately under the relevant travel and accommodation policies, rather than bundling them into this enrolment-fee claim.",,Corporate_Expense_Policy.pdf,11.1,"Training, conferences and professional development"
POL-18,PARKING_TOLL,Vehicle Standing and Road-Usage Charges,"Parking charges and toll or road-usage fees are reimbursable when incurred during a genuine work journey, on the same basis the underlying journey itself would be reimbursable under POL-05. Fines and penalty notices of any kind -- parking tickets, moving-traffic violations, or any other regulatory penalty -- are never reimbursable under this or any other policy, regardless of the circumstances or whether the underlying journey was itself legitimate business travel; the company does not cover the cost of regulatory non-compliance. If you use your own car for a work journey instead of hired transport, charges of this kind remain reimbursable the same way, but the vehicle's own running costs are handled separately under the mileage policy, POL-21.",,Corporate_Expense_Policy.pdf,12.1,"Parking, tolls and related road charges"
POL-19,CLIENT_ENTERTAINMENT,Non-Dining Customer Hospitality,"Client hospitality that is not a shared meal -- event tickets, venue admission, or a similar experience offered in a commercial relationship-building context -- requires three things to be recorded BEFORE the expense is incurred, not after the fact: (1) who the client contact is or which organisation they represent, (2) the business reason for the occasion, and (3) your supervisor's documented pre-authorisation. This need for advance approval, rather than after-the-fact justification, is what distinguishes this policy from client dining under POL-03, reflecting the typically higher and less predictable cost of experiences covered here. If you did not get pre-authorisation before the event, you cannot fix this afterwards -- the claim does not qualify under this policy at all, no matter how strong the business justification looks in hindsight.",,Corporate_Expense_Policy.pdf,10.0,Client entertainment
POL-20,SERVICE_CHARGE_TIPS,Service Levies and Gratuities,"A compulsory service charge added to a bill is reimbursable on the same basis as the underlying cost it is attached to -- if that underlying cost is not itself eligible, the service charge on it is not reimbursable either. A voluntary tip beyond any compulsory charge is reimbursable up to one-tenth (10%) of the qualifying amount it relates to, calculated before the tip itself is added. A voluntary tip above that 10% needs a written explanation from you at the time of submission, covering the circumstance that justified going above the usual proportion, such as an unusually large group or exceptional service under difficult conditions. This policy is always tied to whichever policy governs the underlying expense -- a service charge or tip can never be more eligible than the cost it accompanies.",,Corporate_Expense_Policy.pdf,4.4,"Meals, client hospitality and entertainment"
POL-21,MILEAGE,Personal Vehicle Mileage,"If you use a personally owned vehicle for an approved work journey instead of hired transport or public transport, you can claim a mileage-based allowance instead of actual fuel or running costs, calculated at the standard per-kilometre rate Finance publishes from time to time. This rate is meant to cover fuel, wear, and incidental running costs together -- you cannot also separately claim fuel or servicing for the same journey. Ordinary commuting between your home and your usual workplace is still excluded, on the same basis as under POL-05, regardless of which vehicle or mode you use for it. Keep a simple record of the origin, destination, and distance of each trip in case the claim is queried.",,Corporate_Expense_Policy.pdf,5.2,Ground transport and local travel
POL-22,RELOCATION,Relocation Assistance,"If the company requires you to relocate your main residence to take up a role at a different office location, reasonable relocation costs directly tied to that move are reimbursable, but only under a separate written agreement made with you BEFORE the move takes place, setting out exactly what is covered and any applicable cap. Without that written agreement, no cost associated with a change of residence is reimbursable under this or any other policy, regardless of whether the move was connected to your employment. Costs typically covered include the physical transport of household belongings and short-term temporary accommodation bridging the move, but exclude personal or discretionary costs such as buying new furnishings. This policy is administered separately from the general expense-reimbursement process described elsewhere in this document.",,Corporate_Expense_Policy.pdf,18.1,Relocation and mobility
POL-23,HOME_OFFICE_STIPEND,Home Office Equipment Stipend,"If your home has been formally agreed as your workplace, in whole or in part, you may claim a one-off stipend toward setting up a suitable home working environment, up to a limit set and periodically reviewed by Human Resources. This stipend is separate from, and cannot be combined with, the workplace-apparatus provisions in POL-10 -- the same item cannot be claimed under both policies. Eligible items are limited to what is genuinely needed for a functional, ergonomically appropriate workspace -- such as a desk, a chair, or suitable lighting -- and exclude general household items unrelated to the immediate working area. This stipend is available once per employee per home-working arrangement, not on a recurring basis, unless your role or working arrangement changes materially.",,Corporate_Expense_Policy.pdf,8.4,Office equipment and workplace purchases
POL-24,PROFESSIONAL_MEMBERSHIP,Professional Body Membership,"Annual membership fees for a recognised professional body directly relevant to your role are reimbursable once your supervisor's documented authorisation confirms the relevance of that body to your duties. This is different from POL-17, which covers one-off enrolment fees for courses and events rather than ongoing membership -- a professional body's own conferences or courses, where separately charged, should be assessed under POL-17 instead. If a membership confers a personal professional qualification that continues to benefit you after you leave the company, Finance may take that into account in deciding whether, and how much, to reimburse, though this does not by itself disqualify an otherwise-eligible membership.",,Corporate_Expense_Policy.pdf,11.2,"Training, conferences and professional development"
POL-25,MOBILE_PHONE,Mobile Communications Allowance,"If your role genuinely requires regular use of your personal mobile device for work, you can claim a fixed monthly allowance toward the associated costs, at a rate set separately by Finance, instead of itemising your actual phone bill. If you already have a company-issued device and plan, you cannot also claim this allowance for the same period, since the underlying need is already met. This allowance covers ordinary voice, messaging, and data use connected to your duties -- it does not cover buying the handset itself, which should instead be assessed under POL-10 (workplace apparatus) where there is a genuine business need.",,Corporate_Expense_Policy.pdf,9.2,Software and digital services
POL-26,WELLNESS_BENEFIT,Staff Wellness Benefit,"A discretionary annual allowance toward activities supporting your general wellbeing, such as fitness memberships or similar activities, may be available under a separate benefits schedule maintained by Human Resources, which sets the applicable cap and eligible categories from time to time. This benefit is administered outside the general expense-reimbursement process in this document and should not be claimed through the same channel as an ordinary business expense -- refer to the separate benefits schedule for the correct process. For the avoidance of doubt, costs under this benefit are not business expenses within the meaning of this document, even though they may be processed through a similar-looking mechanism.",,Corporate_Expense_Policy.pdf,19.1,Staff benefits and wellbeing
POL-27,TEAM_OFFSITE,Team Offsite Events,"Costs for an organised offsite event for your immediate team -- venue hire, catering, and related activities -- are reimbursable where the event was authorised in advance by a manager at or above department-head level, and a per-head budget for the event was agreed before it took place. Costs materially exceeding that agreed per-head budget need further authorisation at the same level BEFORE they are incurred, not justified after the event. This policy applies instead of, not in addition to, POL-02 (staff meals) and POL-03 (client hospitality) for an event that qualifies as a team offsite under this policy.",,Corporate_Expense_Policy.pdf,4.5,"Meals, client hospitality and entertainment"
POL-28,CHARITABLE_MATCHING,Charitable Contribution Matching,"If you make a personal donation to a registered charity, the company may match it up to an annual per-employee cap, through a separate charitable-matching scheme run by Human Resources rather than through the general expense-reimbursement process. Submit a matching request together with evidence of your donation, within the timeframe the scheme specifies; it is assessed against the scheme's own eligibility rules, not this document. This entry is included here for completeness only and is not part of the expense-reimbursement provisions administered by Finance.",,Corporate_Expense_Policy.pdf,20.1,Community and charitable contributions
POL-29,EMPLOYEE_MEAL,Extended Trip Per Diem,"For an approved trip away from your usual base that spans more than one calendar day, you may choose to claim sustenance on a flat daily rate instead of itemising each meal separately, at a daily figure set separately by Finance for that destination. Once you make this choice for a trip, you cannot also claim individual meals under POL-02 for the same days of that trip -- the two approaches are mutually exclusive for the same period. This flat-rate option is only available where the trip genuinely spans more than one calendar day; a single-day trip, however long, should be claimed under the ordinary POL-02 meal rules instead. You do not need itemised meal receipts for days claimed this way, but you still need evidence that the travel itself took place.",,Corporate_Expense_Policy.pdf,4.6,"Meals, client hospitality and entertainment"
POL-30,CLIENT_MEAL,Large-Group Client Hospitality,"Where a client dining occasion has more than six attendees in total, including you and the counterparts, the normal per-head cap for customer hospitality under POL-03 still applies, but you additionally need documented pre-authorisation from a manager at or above department-head level before the occasion takes place. This extra requirement reflects the materially higher total cost such occasions can represent and the greater need for oversight before the commitment is made. Where the group size could not reasonably have been anticipated at booking time -- for example, additional counterparts joined without advance notice -- Finance may accept the claim without prior authorisation, provided the circumstances are clearly explained in the submission. This policy applies in addition to, not instead of, POL-03, which continues to govern the underlying per-head eligibility and the recording of the counterpart's identity and business reason.",,Corporate_Expense_Policy.pdf,4.7,"Meals, client hospitality and entertainment"
POL-31,OFFICE_EQUIPMENT,Specialised Technical Equipment,"Specialised or technical equipment -- going beyond the ordinary computing peripherals and furniture covered by POL-10, and instead comprising equipment specific to a particular technical function such as laboratory instruments or specialised measurement devices -- has a higher authorisation threshold of SGD 500 instead of the general SGD 200 figure, reflecting the more specialised procurement judgement such equipment typically needs. If you are unsure whether an item falls under this specialised category rather than the general provisions, check with your supervisor before purchase; Finance's own determination at the point the claim is assessed is final. Authorisation for equipment under this policy should come from a supervisor with relevant technical or budgetary oversight of the function in question, rather than automatically your direct line manager if they do not hold that oversight.",,Corporate_Expense_Policy.pdf,8.2,Office equipment and workplace purchases
POL-32,TRAINING,Internal Certification Programmes,"Enrolling in a certification or training programme delivered internally by the company's own Learning and Development function, as distinct from an external provider, does not require the supervisor authorisation that POL-17 requires for external programmes, since internal programmes are already understood to be curated for relevance to roles within the company. You should still register your enrolment through the designated internal system where one exists, though this is an administrative step rather than a condition of eligibility. If an internally delivered programme carries an associated cost payable to a third party -- for example, an external facilitator engaged to deliver an otherwise-internal programme -- that cost should be assessed under POL-17 instead of this policy, since the third-party cost element takes it outside the scope of a purely internal programme.",,Corporate_Expense_Policy.pdf,11.3,"Training, conferences and professional development"
POL-33,PARKING_TOLL,Long-Term Parking Arrangements,"If your role genuinely requires frequent enough use of parking facilities at one location that a season pass or other long-term arrangement would be more cost-effective than repeated single-use charges, that arrangement is reimbursable with your supervisor's documented authorisation of the underlying operational need, obtained BEFORE you enter into the arrangement. This is different from POL-18, which covers single-use parking and toll charges on a per-journey basis -- a long-term arrangement entered into without the authorisation this policy requires should instead be assessed, if at all, under POL-18, and only to the extent individual journeys can actually be evidenced. Discontinue a long-term arrangement promptly once the underlying operational need no longer exists, rather than letting it continue by default.",,Corporate_Expense_Policy.pdf,12.2,"Parking, tolls and related road charges"
POL-34,HOTEL,Extended-Stay Accommodation,"For a work trip requiring lodging for a continuous period of more than seven nights at the same location, you should, wherever practicable, seek an extended-stay or similar longer-term accommodation arrangement rather than continuing to book on a standard nightly basis, since such arrangements typically secure a materially lower effective nightly rate. The SGD 300 nightly cap from POL-07 still applies, but to the effective nightly rate of the extended-stay arrangement -- calculated by dividing the total arrangement cost by the number of nights covered -- rather than to any single night in isolation. If you keep booking on a standard nightly basis throughout a stay of more than seven nights when an extended-stay option was reasonably available, Finance may query the claim for not pursuing the more cost-effective option.",,Corporate_Expense_Policy.pdf,7.2,Hotels and accommodation
POL-35,TRANSPORT,Ride-Sharing and Pooled Transport,"Where two or more employees travelling to the same destination for the same work purpose share a single hired ground conveyance, the fare should be claimed once by a single nominated employee among the group and apportioned or reimbursed internally between the travelling colleagues, rather than each colleague separately claiming the full fare. This policy exists to avoid duplicate reimbursement of what is, in substance, a single shared journey. Where colleagues genuinely cannot share a single conveyance because of divergent onward destinations or timing, each may claim separately under POL-05 as normal, and this policy does not apply. If you do share a ride under this policy, note in your submission the names of the colleagues you shared it with, so Finance can match it against any related claims from the same journey.",,Corporate_Expense_Policy.pdf,5.4,Ground transport and local travel
