case_id,variant,retrieved_policy_ids,call_error,schema_valid,schema_error,m1_schema_valid,m1_error,gt_decision,correct,decision,reason,policy_ids,missing_information,recommended_action,submission_validation_failed,injection_detected,invalid_citation_detected
EVAL005,C,"['POL-03', 'POL-04', 'POL-02']",,True,,True,,REJECT,True,REJECT,Simulated decision based on retrieved policy evidence ['POL-02'] and structured expense evidence for EVAL005.,"[""POL-02""]",[],Simulated recommended action for decision=REJECT.,False,False,False
EVAL006,A,[],,True,,,,REJECT,True,REJECT,Simulated minimal-LLM decision for EVAL006.,[],[],,False,False,False
EVAL006,B,[],,True,,True,,REJECT,True,REJECT,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL006.,[],[],Simulated recommended action for decision=REJECT.,False,False,False
EVAL006,C,"['POL-13', 'POL-05', 'POL-02']",,True,,True,,REJECT,True,REJECT,Simulated decision based on retrieved policy evidence ['POL-05'] and structured expense evidence for EVAL006.,"[""POL-05""]",[],Simulated recommended action for decision=REJECT.,False,False,False
EVAL007,A,[],,True,,,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated minimal-LLM decision for EVAL007.,[],[],,False,False,False
EVAL007,B,[],,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL007.,[],"[""client_name_or_organisation""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL007,C,"['POL-03', 'POL-30', 'POL-13']",,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence ['POL-03'] and structured expense evidence for EVAL007.,"[""POL-03""]","[""client_name_or_organisation""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL008,A,[],,True,,,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated minimal-LLM decision for EVAL008.,[],[],,False,False,False
EVAL008,B,[],,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL008.,[],"[""manager_approval""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL008,C,"['POL-30', 'POL-21', 'POL-24']",,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence ['POL-30'] and structured expense evidence for EVAL008.,"[""POL-30""]","[""manager_approval""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL009,A,[],,True,,,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated minimal-LLM decision for EVAL009.,[],[],,False,False,False
EVAL009,B,[],,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL009.,[],"[""manager_approval""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL009,C,"['POL-21', 'POL-31', 'POL-11']",,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence ['POL-21'] and structured expense evidence for EVAL009.,"[""POL-21""]","[""manager_approval""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL010,A,[],,True,,,,REJECT,True,REJECT,Simulated minimal-LLM decision for EVAL010.,[],[],,False,False,False
EVAL010,B,[],,True,,True,,REJECT,True,REJECT,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL010.,[],[],Simulated recommended action for decision=REJECT.,False,False,False
EVAL010,C,"['POL-12', 'POL-27', 'POL-03']",,True,,True,,REJECT,True,REJECT,Simulated decision based on retrieved policy evidence ['POL-12'] and structured expense evidence for EVAL010.,"[""POL-12""]",[],Simulated recommended action for decision=REJECT.,False,False,False
EVAL011,A,[],,True,,,,REJECT,False,REQUEST_INFORMATION,Simulated minimal-LLM decision for EVAL011.,[],[],,False,False,False
EVAL011,B,[],,True,,True,,REJECT,True,REJECT,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL011.,[],[],Simulated recommended action for decision=REJECT.,False,False,False
EVAL011,C,"['POL-31', 'POL-10', 'POL-23']",,True,,True,,REJECT,False,APPROVE,Simulated decision based on retrieved policy evidence ['POL-31'] and structured expense evidence for EVAL011.,"[""POL-31""]",[],Simulated recommended action for decision=APPROVE.,False,False,False
EVAL012,A,[],,True,,,,APPROVE,True,APPROVE,Simulated minimal-LLM decision for EVAL012.,[],[],,False,False,False
EVAL012,B,[],,True,,True,,APPROVE,True,APPROVE,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL012.,[],[],Simulated recommended action for decision=APPROVE.,False,False,False
EVAL012,C,"['POL-03', 'POL-04', 'POL-19']",,True,,True,,APPROVE,True,APPROVE,Simulated decision based on retrieved policy evidence ['POL-04'] and structured expense evidence for EVAL012.,"[""POL-04""]",[],Simulated recommended action for decision=APPROVE.,False,False,False
EVAL013,A,[],,True,,,,ESCALATE,False,REJECT,Simulated minimal-LLM decision for EVAL013.,[],[],,False,False,False
EVAL013,B,[],,True,,True,,ESCALATE,True,ESCALATE,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL013.,[],[],Simulated recommended action for decision=ESCALATE.,False,False,False
EVAL013,C,"['POL-03', 'POL-04', 'POL-19']",,True,,True,,ESCALATE,True,ESCALATE,Simulated decision based on retrieved policy evidence ['POL-04'] and structured expense evidence for EVAL013.,"[""POL-04""]",[],Simulated recommended action for decision=ESCALATE.,False,False,False
EVAL014,A,[],,True,,,,APPROVE,False,REJECT,Simulated minimal-LLM decision for EVAL014.,[],[],,False,False,False
EVAL014,B,[],,True,,True,,APPROVE,True,APPROVE,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL014.,[],[],Simulated recommended action for decision=APPROVE.,False,False,False
EVAL014,C,"['POL-23', 'POL-05', 'POL-14']",,True,,True,,APPROVE,False,REJECT,Simulated decision based on retrieved policy evidence ['POL-14'] and structured expense evidence for EVAL014.,"[""POL-14""]",[],Simulated recommended action for decision=REJECT.,False,False,False
EVAL015,A,[],,True,,,,REQUEST_INFORMATION,False,APPROVE,Simulated minimal-LLM decision for EVAL015.,[],[],,False,False,False
EVAL015,B,[],,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL015.,[],"[""weekend_business_reason""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL015,C,"['POL-14', 'POL-23', 'POL-05']",,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence ['POL-14'] and structured expense evidence for EVAL015.,"[""POL-14""]","[""weekend_business_reason""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL016,A,[],,True,,,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated minimal-LLM decision for EVAL016.,[],[],,False,False,False
EVAL016,B,[],,True,,True,,REQUEST_INFORMATION,False,REJECT,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL016.,[],[],Simulated recommended action for decision=REJECT.,False,False,False
EVAL016,C,"['POL-07', 'POL-30', 'POL-34']",,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence ['POL-07'] and structured expense evidence for EVAL016.,"[""POL-07""]","[""manager_approval""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL017,A,[],,True,,,,ESCALATE,True,ESCALATE,"Escalated automatically: the submitted description contains text resembling an instruction-override attempt, so it was not trusted and the model's own proposed decision (ESCALATE) was discarded. Route to Finance Review.",[],[],,False,True,False
EVAL017,B,[],,True,,True,,ESCALATE,True,ESCALATE,"Escalated automatically: the submitted description contains text resembling an instruction-override attempt, so it was not trusted and the model's own proposed decision (REJECT) was discarded. Route to Finance Review.",[],[],Simulated recommended action for decision=REJECT.,False,True,False
EVAL017,C,"['POL-23', 'POL-22', 'POL-05']",,True,,True,,ESCALATE,True,ESCALATE,"Escalated automatically: the submitted description contains text resembling an instruction-override attempt, so it was not trusted and the model's own proposed decision (ESCALATE) was discarded. Route to Finance Review.","[""POL-23""]",[],Simulated recommended action for decision=ESCALATE.,False,True,False
EVAL018,A,[],,True,,,,ESCALATE,True,ESCALATE,Simulated minimal-LLM decision for EVAL018.,[],[],,False,False,False
EVAL018,B,[],,True,,True,,ESCALATE,True,ESCALATE,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL018.,[],[],Simulated recommended action for decision=ESCALATE.,False,False,False
EVAL018,C,"['POL-03', 'POL-29', 'POL-04']",,True,,True,,ESCALATE,True,ESCALATE,Simulated decision based on retrieved policy evidence ['POL-03'] and structured expense evidence for EVAL018.,"[""POL-03""]",[],Simulated recommended action for decision=ESCALATE.,False,False,False
EVAL019,A,[],,True,,,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated minimal-LLM decision for EVAL019.,[],[],,False,False,False
EVAL019,B,[],,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL019.,[],"[""claimed_business_amount""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL019,C,"['POL-15', 'POL-03', 'POL-10']",,True,,True,,REQUEST_INFORMATION,True,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence ['POL-15'] and structured expense evidence for EVAL019.,"[""POL-15""]","[""claimed_business_amount""]",Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL020,A,[],,True,,,,APPROVE,True,APPROVE,Simulated minimal-LLM decision for EVAL020.,[],[],,False,False,False
EVAL020,B,[],,True,,True,,APPROVE,False,REJECT,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL020.,[],[],Simulated recommended action for decision=REJECT.,False,False,False
EVAL020,C,"['POL-13', 'POL-03', 'POL-04']",,True,,True,,APPROVE,False,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence ['POL-13'] and structured expense evidence for EVAL020.,"[""POL-13""]",[],Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
